uniprot_id,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi,contrast,gene,protein,description
P02144,-0.4797183453920333,-1.0115636706198172,0.05212697983575065,31.146698213604193,-1.826147556627092,-5.745890456932914,0.07571502385142385,0.19520840272594586,-1,-0,0.28994997391529986,0,CRvH_Baseline,MB,MYG_HUMAN,Myoglobin
P06732,-0.2143744839974051,-0.6999903890022081,0.27124142100739784,30.445366975476656,-0.8937071682424024,-6.975550569929624,0.3771119022974847,0.5463352193071416,-0,-0,0.8113458632131411,0,CRvH_Baseline,CKM,KCRM_HUMAN,Creatine kinase M-type
P04075,0.17927442285033202,-0.03815008128023237,0.39669892698089637,29.696757974003575,1.6689603978874532,-6.005608454147317,0.10331131892488908,0.23864695327023208,0,0,0.665674521590865,0,CRvH_Baseline,ALDOA,ALDOA_HUMAN,Fructose-bisphosphate aldolase A
P04406,0.27953265008329,0.03584843302678792,0.5232168671397921,29.607709931743376,2.3218883205078362,-4.802698338606282,0.025673747019402195,0.09247431584520234,1,1,0.3592529286069148,0,CRvH_Baseline,GAPDH,G3P_HUMAN,Glyceraldehyde-3-phosphate dehydrogenase
P12277,0.10141519241740227,-0.28267814849797834,0.4855085333327829,29.431300467409592,0.5344442735140901,-7.234160232196012,0.5961347229393961,0.7234260942137709,0,0,0.9488914009961086,0,CRvH_Baseline,CKB,KCRB_HUMAN,Creatine kinase B-type
P07451,0.23348083932434527,-0.2627251902511144,0.7296868688998049,29.162555978805365,0.9526296496104445,-6.9211533050394,0.34681503449008155,0.5204617345175293,0,0,0.7809472058948027,0,CRvH_Baseline,CA3,CAH3_HUMAN,Carbonic anhydrase 3
Q13642,-0.4875026285436732,-0.8178147990802195,-0.15719045800712694,28.694086074071294,-2.98736695519793,-3.282294032676094,0.00489766278574294,0.029686112038375033,-1,-1,0.07479343975417982,0,CRvH_Baseline,FHL1,FHL1_HUMAN,Four and a half LIM domains protein 1
P68133,0.32295653244548994,-0.5445392008508193,1.1904522657417993,28.054132006891813,0.753722728734182,-7.09134450502632,0.45567372731296685,0.6075649697506225,0,0,0.7758184009140161,0,CRvH_Baseline,ACTA1,ACTS_HUMAN,"Actin, alpha skeletal muscle"
P06733,0.622157764034835,0.02306122910981412,1.221254298959856,28.357978905617227,2.102512580793782,-5.242513098322444,0.042207287407426235,0.129538867981043,1,0,0.1395642301434657,0,CRvH_Baseline,ENO1,ENOA_HUMAN,Alpha-enolase
P13929,-0.513248187094332,-1.0564419835212762,0.029945609332612255,27.82387557643471,-1.912967132673744,-5.59400310346871,0.06333118124522778,0.1722608129870196,-1,-0,0.24262324102822422,0,CRvH_Baseline,ENO3,ENOB_HUMAN,Beta-enolase
P14618,-0.18657938448048306,-0.4493076049005901,0.07614883593962396,27.487074397701665,-1.4374512296307715,-6.351158308586355,0.15874034258589217,0.31287951582146867,-0,-0,0.7093567911717422,0,CRvH_Baseline,PKM,KPYM_HUMAN,Pyruvate kinase PKM
P60174,0.02287114745536023,-0.2416140701108434,0.28735636502156386,27.443379270985396,0.17503412868343332,-7.363959867044045,0.8619783105161706,0.9163591663189735,0,0,0.996608822002697,0,CRvH_Baseline,TPI1,TPIS_HUMAN,Triosephosphate isomerase
