uniprot_id,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi,contrast,gene,protein,description
P02144,-0.4779656448268401,-1.0016251640381026,0.045693874384422406,31.146698213604193,-1.8468149751610279,-4.62102784706429,0.07245197145342887,0.1678972203223229,-1,-0,0.2851958241567015,0,CRvH_Baseline,MB,MYG_HUMAN,Myoglobin
P06732,-0.2159617523980728,-0.6928026372564426,0.260879132460297,30.445366975476656,-0.9163873092775815,-5.821501551066908,0.36515477146356035,0.5090177980171091,-0,-0,0.8044735355776076,0,CRvH_Baseline,CKM,KCRM_HUMAN,Creatine kinase M-type
P04075,0.17931245410462537,-0.01499691365488412,0.37362182186413484,29.696757974003575,1.8672068170625193,-4.586833436964286,0.06948185584062588,0.16398320857831009,1,0,0.6199163921241372,0,CRvH_Baseline,ALDOA,ALDOA_HUMAN,Fructose-bisphosphate aldolase A
P04406,0.28005632680956616,0.05588955996656919,0.5042230936525631,29.607709931743376,2.5278416710930802,-3.3221172260175367,0.0156850141686619,0.06138595473202931,1,1,0.3123446947286774,0,CRvH_Baseline,GAPDH,G3P_HUMAN,Glyceraldehyde-3-phosphate dehydrogenase
P12277,0.10053139143764156,-0.267137650535364,0.4682004334106471,29.431300467409592,0.553248619162853,-6.080882506837663,0.5832841255219391,0.6950855734587839,0,0,0.9472478024545798,0,CRvH_Baseline,CKB,KCRB_HUMAN,Creatine kinase B-type
P07451,0.2346110268173245,-0.25059633243257307,0.719818386067222,29.162555978805365,0.9783556322662973,-5.764925124108264,0.3339917004950115,0.4802305629113661,0,0,0.7731488917052937,0,CRvH_Baseline,CA3,CAH3_HUMAN,Carbonic anhydrase 3
Q13642,-0.4877494100705704,-0.8033886390304465,-0.17211018111069426,28.694086074071294,-3.1266659743864085,-1.950705240622506,0.0033545056238997186,0.023395526402582655,-1,-1,0.06210502950437997,0,CRvH_Baseline,FHL1,FHL1_HUMAN,Four and a half LIM domains protein 1
P68133,0.32127805249759156,-0.5494827809190275,1.1920388859142106,28.054132006891813,0.7470857244095408,-5.957813178533225,0.45963965305263543,0.5927571368157789,0,0,0.7790084132203027,0,CRvH_Baseline,ACTA1,ACTS_HUMAN,"Actin, alpha skeletal muscle"
P06733,0.6259100744198296,0.03644696844386164,1.2153731803957974,28.357978905617227,2.1484785505988095,-4.084341171614765,0.038010784766706496,0.10984258652370961,1,0,0.12916634842289296,0,CRvH_Baseline,ENO1,ENOA_HUMAN,Alpha-enolase
P13929,-0.5170549372686697,-1.0499078967330715,0.01579802219573201,27.82387557643471,-1.9633829525423563,-4.421406000631038,0.05683650838596405,0.14281321275734155,-1,-0,0.2270251354095021,0,CRvH_Baseline,ENO3,ENOB_HUMAN,Beta-enolase
P14618,-0.18704812798329407,-0.4301736406537723,0.05607738468718412,27.487074397701665,-1.5566771125201002,-5.072839259756169,0.12771054016038083,0.2472403339759686,-0,-0,0.680489432327759,0,CRvH_Baseline,PKM,KPYM_HUMAN,Pyruvate kinase PKM
P60174,0.024107939442606252,-0.2221770872241856,0.2703929661093981,27.443379270985396,0.1980604636928979,-6.21196949658287,0.8440373428852352,0.8983008934516088,0,0,0.9959206362820553,0,CRvH_Baseline,TPI1,TPIS_HUMAN,Triosephosphate isomerase
P09104,0.16927563249018363,-0.27429540304632904,0.6128466680266963,27.254425713700666,0.7721594200514197,-5.939410042253097,0.4447228933087989,0.579818463654851,0,0,0.8718266195830702,0,CRvH_Baseline,ENO2,ENOG_HUMAN,Gamma-enolase
P18669,0.7334638096813215,0.2972953863367665,1.1696322330258766,27.34668465359481,3.402516007313113,-1.2616159277694612,0.0015676166569009405,0.016321214571370556,1,1,0.008766171228635293,1,CRvH_Baseline,PGAM1,PGAM1_HUMAN,Phosphoglycerate mutase 1
P31415,-0.11729655255422067,-0.39242498757853606,0.15783188247009472,27.14011652498227,-0.8626318294137331,-5.867711676947745,0.39366883411712605,0.5357244421756513,-0,-0,0.8964173756306659,0,CRvH_Baseline,CASQ1,CASQ1_HUMAN,Calsequestrin-1
P00558,0.39434469121591853,0.14382973604955696,0.6448596463822801,27.171468866934458,3.1850631668355884,-1.8075202061486353,0.002862322601500031,0.021683695374130372,1,1,0.09932772161192639,0,CRvH_Baseline,PGK1,PGK1_HUMAN,Phosphoglycerate kinase 1
P04792,0.09366902375073494,-0.32608005380101135,0.5134181013024812,27.14855255387689,0.4515251567117585,-6.1309797679206,0.6541383298251469,0.7537060752723755,0,0,0.9610233750431649,0,CRvH_Baseline,HSPB1,HSPB1_HUMAN,Heat shock protein beta-1
P05976,-0.7226965783053281,-1.535987805110844,0.09059464850018784,26.475826686574454,-1.7988388975827938,-4.700590960850001,0.07998342659879698,0.17832370520387522,-1,-0,0.16113944292368798,0,CRvH_Baseline,MYL1,MYL1_HUMAN,"Myosin light chain 1/3, skeletal muscle isoform"
P11217,-0.5489705891406551,-1.1598518433544505,0.06191066507314036,26.695899900667975,-1.8183858602659915,-4.668210912697034,0.07678247826169045,0.17476848608518664,-1,-0,0.24436651333469867,0,CRvH_Baseline,PYGM,PYGM_HUMAN,"Glycogen phosphorylase, muscle form"
P02511,0.15979476370026902,-0.32171886129046445,0.6413083886910025,26.93027673856361,0.6714747278799007,-6.010145760152541,0.5059177203111543,0.6301528101872191,0,0,0.8968369977334136,0,CRvH_Baseline,CRYAB,CRYAB_HUMAN,Alpha-crystallin B chain
P00338,0.11329711215133642,-0.28935918447072256,0.5159534087733955,26.807829247872515,0.5693247365887228,-6.072051242161369,0.5724346983831428,0.6856865255490032,0,0,0.9387523774257851,0,CRvH_Baseline,LDHA,LDHA_HUMAN,L-lactate dehydrogenase A chain
P10916,-0.23181416060157822,-1.0036760455991662,0.5400477243960098,26.4371197172297,-0.6079226476594362,-6.0497887057403466,0.5468432686574604,0.6629141797206873,-0,-0,0.8694265562194918,0,CRvH_Baseline,MYL2,MLRV_HUMAN,"Myosin regulatory light chain 2, ventricular/cardiac muscle isoform"
P00568,0.08919282163769893,-0.1903671693448309,0.36875281262022874,26.672632293704073,0.6455510530454317,-6.026800748969204,0.522389947456938,0.6443913065774727,0,0,0.9437286973495459,0,CRvH_Baseline,AK1,KAD1_HUMAN,Adenylate kinase isoenzyme 1
P15090,2.8184970043690285,1.2410390896580348,4.3959549190800224,25.48951115387704,3.617829217158754,-0.7169089657120633,8.664866084167564e-4,0.012404439867860934,1,1,2.33932715325453e-9,1,CRvH_Baseline,FABP4,FABP4_HUMAN,"Fatty acid-binding protein, adipocyte"
P05413,-0.3461057632965794,-1.0092969492128439,0.317085422619685,26.51886806456897,-1.0560281547145756,-5.689047245016416,0.29753512985879793,0.44163468115466864,-0,-0,0.6573377201316138,0,CRvH_Baseline,FABP3,FABPH_HUMAN,"Fatty acid-binding protein, heart"
O14983,-0.4372567998102532,-1.0188155120094915,0.14430191238898504,26.351080794055314,-1.5213134829217971,-5.123333005493588,0.13633299709976457,0.26007059539561084,-0,-0,0.4184064732031215,0,CRvH_Baseline,ATP2A1,AT2A1_HUMAN,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
P40925,0.11018487734136251,-0.17354688714034605,0.39391664182307107,26.57104669613989,0.7857596841191585,-5.929121570047927,0.43680607486767375,0.572239626075893,0,0,0.912778183117397,0,CRvH_Baseline,MDH1,MDHC_HUMAN,"Malate dehydrogenase, cytoplasmic"
P12883,-0.9461956567897687,-1.9996766270759898,0.10728531349645243,25.803812922926774,-1.8186223363141574,-4.668355809233665,0.07690888382912535,0.17487328235337177,-1,-0,0.08829087295179032,0,CRvH_Baseline,MYH7,MYH7_HUMAN,Myosin-7
P15259,-0.2137958457052651,-0.7345609852605487,0.3069692938500185,26.18026858923919,-0.8306786839010026,-5.893908107945276,0.41126472852122453,0.5498674985148013,-0,-0,0.8269909789398755,0,CRvH_Baseline,PGAM2,PGAM2_HUMAN,Phosphoglycerate mutase 2
